frame,ElectricField
1,-29.077077520909278
2,-10.171949738270298
3,6.781873510479084
4,-5.3276846871419
5,5.737957126160409
6,3.9079677285610512
7,-17.19508042897635
8,50.5488565326198
9,17.63630832308961
10,2.091970523561212
11,0.39213888572713296
12,-0.28831719015003154
13,0.7440166774955591
14,-0.06859677649466729
15,0.05911410104805314
16,0.7861079139014525
17,0.18217703363374066
18,-0.7591596347797301
19,24.370474092922443
20,3.5489072411028344
21,1.7472339535721457
22,-0.1538406569398715
23,-0.8664524188631372
24,0.8488388499593383
25,-0.46215864055346484
26,-1.238915562907581
